RA,Dec,Distance,Name,Max
345.01237499999996,15.980694444444445,26.0,SN1997dt,1997/12/04
101.90874999999998,74.4975,56.0,SN1997E,1997/01/19
64.47237499999999,-56.61627777777778,99.0,SN1997ej,1997/12/25
191.3808333333333,54.738055555555555,66.0,SN1997Y,1997/02/08
192.19683333333333,41.924527777777776,90.0,SN1998ab,1998/04/11
107.07137499999999,46.11508333333334,85.3,SN1998an,1998/04/05
179.10779166666663,55.12866666666667,20.7,SN1998aq,1998/04/27
187.32833333333332,-23.164027777777775,27.0,SN1998bn,1998/04/16
268.71141666666665,18.330694444444443,41.3,SN1998bp,1998/05/02
161.6917083333333,11.835416666666667,9.9,SN1998bu,1998/05/19
173.97666666666666,70.53611111111111,35.0,SN1998cn,1998/06/22
326.901,-13.181194444444444,70.0,SN1998co,1998/06/26
253.73045833333327,-72.58999999999999,72.0,SN1998cx,1998/07/03
210.74699999999996,34.74841666666667,18.0,SN1998D,1998/01/31
12.028666666666666,27.624583333333334,66.0,SN1998de,1998/07/31
197.59937499999995,-16.935583333333334,36.1,SN1998dg,1998/07/18
348.66795833333333,4.53725,31.0,SN1998dh,1998/08/04
30.27883333333333,-6.818,60.81,SN1998dj,1998/08/07
3.6339999999999995,-0.736361111111111,48.0,SN1998dk,1998/08/31
21.558208333333333,-6.103888888888888,23.0,SN1998dm,1998/09/04
287.8490833333333,-50.64041666666667,41.0,SN1998dq,1998/08/22
85.55008333333333,69.37397222222222,79.0,SN1998eb,1998/09/16
103.2754583333333,50.03947222222222,85.0,SN1998ec,1998/10/02
15.861958333333332,32.23677777777778,58.0,SN1998ef,1998/10/28
339.8762083333333,8.605722222222221,98.0,SN1998eg,1998/10/24
288.802875,-54.11380555555556,40.6,SN1998em,1998/10/25
106.00020833333332,50.675,95.8,SN1998en,1998/10/29
24.32333333333333,5.880722222222222,37.4,SN1998es,1998/11/25
275.6558333333333,15.702333333333332,67.0,SN1998V,1998/03/18
126.92512499999998,21.487444444444446,64.0,SN1999aa,1999/02/22
241.81254166666662,7.972333333333333,34.0,SN1999ac,1999/03/13
125.91083333333331,18.305666666666667,82.12,SN1999be,1999/03/31
163.69570833333333,61.288888888888884,77.166,SN1999bh,1999/04/04
260.6697083333333,60.00358333333333,83.758,SN1999bv,1999/04/18
140.4669583333333,51.00183333333333,13.1,SN1999by,1999/05/10
187.983375,14.426472222222221,11.0,SN1999cl,1999/06/15
